,Predictor,count,weight,min_coeff,max_coeff,median_coeff,weight_coeff,,C1,C2
1,age_std,100,100,0.298418424,0.832599566,0.521042693,0.522074738,,,
2,npi,100,100,0.129305577,0.563105127,0.305054267,0.306246468,,,
3,NGF,16,16.1276055,0.00518619,0.388289799,0.10117257,0.019809545,,chr1p13,
4,BOLA1,11,10.7695882,-0.281103349,-0.022671381,-0.143715652,-0.015715519,,chr1q21,
5,MAP1B,13,12.98332889,0.028412076,0.202909597,0.098973822,0.013214033,,chr5q13,
6,NDUFA4L2,10,10.19603325,0.001346483,0.2938834,0.069863148,0.011086102,,,
7,DB451841,14,14.43975739,-0.163512434,-0.003295462,-0.033742376,-0.006987375,,,
8,YDJC,11,11.38082726,-0.144865321,-0.001472585,-0.062693426,-0.006739748,,,
9,CAMKK1,8,8.205233213,-0.127776472,-0.020135554,-0.064614503,-0.005165238,,,
10,GPR4,11,10.69683893,0.000838865,0.210096527,0.031042236,0.005159761,,,
11,C9orf95,9,9.635411515,-0.141355698,-0.002307255,-0.048663062,-0.004829032,,,
12,AK125637,5,4.808926169,-0.13797886,-0.018789186,-0.095461151,-0.003878957,,,
13,MAGEA9B,3,3.020525787,0.0335542,0.380259023,0.039520186,0.003616052,,,
14,DB001621,6,5.91433673,0.033036157,0.126379445,0.046555551,0.003540093,,,
15,CB242622,6,5.928546883,-0.111580473,-0.005466222,-0.05915472,-0.003528374,,,
16,AK055323,5,4.994672408,0.04287797,0.101554119,0.068710853,0.00352805,,,
17,SLC35B1,4,3.821710442,-0.098951684,-0.049548372,-0.067091703,-0.002696798,,,
18,SNX10,4,3.611862801,-0.12001704,-0.033036436,-0.06351064,-0.002599229,,,
19,AA860135,3,3.043740267,-0.124869084,-0.047959742,-0.076686708,-0.002558654,,,
20,CSAG1,7,7.362795121,-0.072180909,-0.013199805,-0.023146178,-0.002529121,,,
21,C16orf55,1,0.9228015,0.265774466,0.265774466,0.265774466,0.002452571,,,
22,AA576350,2,1.687711137,-0.235568607,-0.04263804,-0.139103323,-0.00242623,,,
23,CSRNP1,3,2.490065841,0.04515753,0.150206354,0.111934328,0.00238371,,,
24,BG110658,4,3.901606945,-0.098146876,-0.00160757,-0.060802128,-0.00220006,,,
25,BM673878,5,5.149435973,0.000361585,0.070564315,0.049562661,0.002004785,,,
26,OSTF1,2,2.041394079,-0.144142241,-0.062116769,-0.103129505,-0.001931999,,,
27,BX106146,3,2.719481777,-0.210032419,-0.003994544,-0.038942272,-0.001896783,,,
28,ZFYVE28,3,3.207244028,0.001714853,0.118923326,0.049879043,0.001761094,,,
29,METTL23,4,4.060339666,-0.068518858,-0.01288349,-0.039838093,-0.001700301,,,
30,LCE2C,2,1.939309082,0.058470709,0.112143659,0.085307184,0.001679517,,,
31,GBX2,2,2.179834373,-0.125964155,-0.035708621,-0.080836388,-0.001633908,,,
32,CCDC78,1,0.740896555,0.219935562,0.219935562,0.219935562,0.001629495,,,
33,IL26,1,1.07201392,-0.14738149,-0.14738149,-0.14738149,-0.00157995,,,
34,LOC100128505,1,0.884578775,0.176093318,0.176093318,0.176093318,0.001557684,,,
35,CYP1A1,3,2.819901166,0.022360364,0.119598705,0.022918908,0.001542727,,,
36,AGA,2,1.921814558,-0.079657261,-0.076274045,-0.077965653,-0.001503202,,,
37,C17orf90,2,1.725933862,-0.093307389,-0.068344905,-0.080826147,-0.001409942,,,
38,COPE,1,0.932966915,-0.149438687,-0.149438687,-0.149438687,-0.001394214,,,
39,NDUFA5,2,1.802079859,-0.08043464,-0.072768257,-0.076601449,-0.001386813,,,
40,BTBD18,3,3.228727123,-0.079646746,-0.022459308,-0.023028221,-0.00136185,,,
41,LOC388948,1,1.07201392,-0.126794799,-0.126794799,-0.126794799,-0.001359258,,,
42,PEX11B,2,1.468663664,-0.101224529,-0.08313411,-0.092179319,-0.001354992,,,
43,MAVS,1,0.884578775,0.145583316,0.145583316,0.145583316,0.001287799,,,
44,XAGE1D,4,4.103852168,-0.062742711,-0.000144773,-0.028401929,-0.001217093,,,
45,AK127725,1,0.955218766,-0.124272562,-0.124272562,-0.124272562,-0.001187075,,,
46,C6orf184,1,1.07201392,-0.104460069,-0.104460069,-0.104460069,-0.001119826,,,
47,PRR5,1,0.803132362,-0.130334294,-0.130334294,-0.130334294,-0.001046757,,,
48,BX089060,1,1.016507581,-0.101519539,-0.101519539,-0.101519539,-0.001031954,,,
49,PODXL,3,2.783545258,0.010715419,0.092420545,0.013153282,0.001010549,,,
50,WDR66,1,1.07201392,0.093806772,0.093806772,0.093806772,0.001005622,,,
51,GPR116,2,1.988511841,0.035467167,0.06311002,0.049288593,0.000997762,,,
52,XYLT2,2,1.853198626,-0.094462363,-0.006260101,-0.050361232,-0.000929944,,,
53,COIL,1,0.933480857,-0.098443016,-0.098443016,-0.098443016,-0.000918947,,,
54,BG255514,1,1.184699895,-0.073980211,-0.073980211,-0.073980211,-0.000876443,,,
55,MRPS23,2,2.040071482,-0.070330868,-0.010753832,-0.04054235,-0.000826279,,,
56,AI693528,2,1.806202249,-0.068121291,-0.008544686,-0.038332989,-0.000796829,,,
57,C19orf50,1,1.184699895,-0.067237364,-0.067237364,-0.067237364,-0.000796561,,,
58,GPANK1,1,1.231949132,-0.063885626,-0.063885626,-0.063885626,-0.000787038,,,
59,NME1-NME2,1,0.933480857,-0.082396547,-0.082396547,-0.082396547,-0.000769156,,,
60,DEFB112,2,1.881366097,-0.052573407,-0.028295215,-0.040434311,-0.000762466,,,
61,ARF3,1,0.731649521,0.103435634,0.103435634,0.103435634,0.000756786,,,
62,AA831838,3,3.418163759,-0.034771356,-0.004473299,-0.028117352,-0.000751835,,,
63,RAB37,4,3.668124033,-0.035963295,-0.003193598,-0.020053619,-0.000739079,,,
64,NUP88,2,1.934193139,-0.070587496,-0.000802427,-0.035694961,-0.000703816,,,
65,C16orf74,2,1.905980952,-0.060885498,-0.008311247,-0.034598372,-0.000695405,,,
66,IGF2,1,0.955218766,0.072518059,0.072518059,0.072518059,0.000692706,,,
67,PDE2A,2,2.132585136,0.016190258,0.049623606,0.032906932,0.000662181,,,
68,C20orf12,1,1.07201392,0.061182414,0.061182414,0.061182414,0.000655884,,,
69,HMCN2,1,1.058114715,0.059777364,0.059777364,0.059777364,0.000632513,,,
70,DNAJB13,2,1.748157102,0.028338055,0.047056382,0.037697218,0.000632346,,,
71,MTCP1NB,3,2.635697819,-0.039709322,-0.000877213,-0.031768897,-0.000613888,,,
